         1502339 function calls (1118454 primitive calls) in 0.410 seconds

   Ordered by: cumulative time
   List reduced from 190 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.002    0.000    0.386    0.007 transformer.py:490(transform_source)
 32355/52    0.012    0.000    0.359    0.007 ast.py:502(visit)
 29976/52    0.033    0.000    0.359    0.007 ast.py:555(generic_visit)
278590/2933    0.093    0.000    0.255    0.000 copy.py:110(deepcopy)
24516/2933    0.035    0.000    0.246    0.000 copy.py:228(_reconstruct)
24516/2933    0.039    0.000    0.233    0.000 copy.py:198(_deepcopy_dict)
6288/3501    0.004    0.000    0.130    0.000 copy.py:172(_deepcopy_list)
     3548    0.001    0.000    0.123    0.000 transformer.py:412(_create_gremlins_for_node)
      534    0.002    0.000    0.118    0.000 transformer.py:289(build_switching_expression)
      934    0.002    0.000    0.110    0.000 transformer.py:113(create_gremlins_for_node)
      407    0.000    0.000    0.109    0.000 transformer.py:478(visit_Return)
    98/97    0.000    0.000    0.099    0.001 transformer.py:447(visit_BoolOp)
  275/229    0.000    0.000    0.050    0.000 transformer.py:436(visit_BinOp)
      271    0.000    0.000    0.046    0.000 transformer.py:425(visit_Compare)
      355    0.001    0.000    0.041    0.000 transformer.py:330(build_switching_statement)
      104    0.000    0.000    0.040    0.000 ast.py:26(parse)
      104    0.040    0.000    0.040    0.000 {built-in method builtins.compile}
      355    0.000    0.000    0.038    0.000 return_value.py:51(mutate)
      355    0.001    0.000    0.038    0.000 return_value.py:78(_mutate_to_none)
      316    0.000    0.000    0.034    0.000 boolean.py:52(mutate)
      118    0.000    0.000    0.028    0.000 transformer.py:458(visit_UnaryOp)
    55320    0.017    0.000    0.026    0.000 copy.py:212(_keep_alive)
       98    0.000    0.000    0.025    0.000 boolean.py:72(_mutate_boolop)
        1    0.002    0.002    0.024    0.024 profile_gremlins.py:114(discover_source_files)
   192545    0.016    0.000    0.016    0.000 {built-in method builtins.isinstance}
      119    0.000    0.000    0.015    0.000 arithmetic.py:73(mutate)
    78438    0.011    0.000    0.015    0.000 ast.py:268(iter_fields)
   130871    0.014    0.000    0.014    0.000 {built-in method builtins.getattr}
     2379    0.001    0.000    0.013    0.000 transformer.py:469(visit_Constant)
   137659    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
    58530    0.009    0.000    0.013    0.000 copy.py:233(<genexpr>)
   173797    0.012    0.000    0.012    0.000 {built-in method builtins.id}
     3548    0.004    0.000    0.011    0.000 transformer.py:408(_get_operators_for_node)
       99    0.000    0.000    0.010    0.000 comparison.py:70(mutate)
    72854    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
      108    0.000    0.000    0.007    0.000 boolean.py:81(_mutate_not)
    24516    0.006    0.000    0.006    0.000 {method '__reduce_ex__' of 'object' objects}
       45    0.000    0.000    0.006    0.000 boundary.py:63(mutate)
       45    0.000    0.000    0.006    0.000 boundary.py:104(_mutate_comparator_constants)
    24516    0.005    0.000    0.005    0.000 {method 'update' of 'dict' objects}
       52    0.001    0.000    0.003    0.000 pragma.py:99(parse_pardoned_lines)
     3864    0.002    0.000    0.003    0.000 boolean.py:35(can_mutate)
    24569    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
    24528    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1022    0.001    0.000    0.002    0.000 transformer.py:196(_get_mutation_description)
    22326    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
    24516    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
       52    0.000    0.000    0.002    0.000 __init__.py:785(read_text)
      110    0.000    0.000    0.001    0.000 boolean.py:85(_mutate_bool_constant)
     3593    0.001    0.000    0.001    0.000 boundary.py:33(can_mutate)




--- Sorted by Internal Time ---

         1502339 function calls (1118454 primitive calls) in 0.410 seconds

   Ordered by: internal time
   List reduced from 190 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
278590/2933    0.093    0.000    0.255    0.000 copy.py:110(deepcopy)
      104    0.040    0.000    0.040    0.000 {built-in method builtins.compile}
24516/2933    0.039    0.000    0.233    0.000 copy.py:198(_deepcopy_dict)
24516/2933    0.035    0.000    0.246    0.000 copy.py:228(_reconstruct)
 29976/52    0.033    0.000    0.359    0.007 ast.py:555(generic_visit)
    55320    0.017    0.000    0.026    0.000 copy.py:212(_keep_alive)
   192545    0.016    0.000    0.016    0.000 {built-in method builtins.isinstance}
   130871    0.014    0.000    0.014    0.000 {built-in method builtins.getattr}
   137659    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
   173797    0.012    0.000    0.012    0.000 {built-in method builtins.id}
 32355/52    0.012    0.000    0.359    0.007 ast.py:502(visit)
    78438    0.011    0.000    0.015    0.000 ast.py:268(iter_fields)
    58530    0.009    0.000    0.013    0.000 copy.py:233(<genexpr>)
    72854    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    24516    0.006    0.000    0.006    0.000 {method '__reduce_ex__' of 'object' objects}
    24516    0.005    0.000    0.005    0.000 {method 'update' of 'dict' objects}
     3548    0.004    0.000    0.011    0.000 transformer.py:408(_get_operators_for_node)
6288/3501    0.004    0.000    0.130    0.000 copy.py:172(_deepcopy_list)
      934    0.002    0.000    0.110    0.000 transformer.py:113(create_gremlins_for_node)
    24569    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
    24528    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
    22326    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
      534    0.002    0.000    0.118    0.000 transformer.py:289(build_switching_expression)
    24516    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
     3864    0.002    0.000    0.003    0.000 boolean.py:35(can_mutate)
        1    0.002    0.002    0.024    0.024 profile_gremlins.py:114(discover_source_files)
       52    0.002    0.000    0.386    0.007 transformer.py:490(transform_source)
     3548    0.001    0.000    0.123    0.000 transformer.py:412(_create_gremlins_for_node)
       52    0.001    0.000    0.003    0.000 pragma.py:99(parse_pardoned_lines)
    10718    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     1022    0.001    0.000    0.001    0.000 <string>:2(__init__)
       52    0.001    0.000    0.001    0.000 {built-in method _io.open}
      355    0.001    0.000    0.041    0.000 transformer.py:330(build_switching_statement)
     1022    0.001    0.000    0.002    0.000 transformer.py:196(_get_mutation_description)
     3647    0.001    0.000    0.001    0.000 comparison.py:56(can_mutate)
     3903    0.001    0.000    0.001    0.000 return_value.py:34(can_mutate)
     3593    0.001    0.000    0.001    0.000 boundary.py:33(can_mutate)
     3667    0.001    0.000    0.001    0.000 arithmetic.py:59(can_mutate)
     2379    0.001    0.000    0.013    0.000 transformer.py:469(visit_Constant)
       52    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
      355    0.001    0.000    0.038    0.000 return_value.py:78(_mutate_to_none)
       28    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
     1022    0.000    0.000    0.000    0.000 transformer.py:400(_next_gremlin_id)
      407    0.000    0.000    0.109    0.000 transformer.py:478(visit_Return)
      355    0.000    0.000    0.038    0.000 return_value.py:51(mutate)
       28    0.000    0.000    0.001    0.000 glob.py:524(scandir)
       99    0.000    0.000    0.010    0.000 comparison.py:70(mutate)
      316    0.000    0.000    0.000    0.000 transformer.py:169(_get_boolean_description)
     1870    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       98    0.000    0.000    0.025    0.000 boolean.py:72(_mutate_boolop)


